Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-03-01,293.26001,293.929993,290.200012,291.200012,289.201843,58287000,0
2023-03-02,288.660004,294.429993,288.369995,293.609985,291.595306,53565900,1
2023-03-03,295.390015,299.920013,294.869995,299.679993,297.623657,60511500,2
2023-03-06,300.940002,304,299.820007,300.019989,297.961304,56736300,3
2023-03-07,300.070007,301.01001,295.720001,296.339996,294.306519,65955800,4
2023-03-08,296.769989,298.429993,294.880005,297.820007,295.776428,50876300,5
2023-03-09,298.329987,300.980011,291.829987,292.660004,290.651825,71456700,6
2023-03-10,292.829987,294.350006,287.380005,288.549988,286.570038,98593600,7
2023-03-13,286.730011,294.470001,285.190002,290.690002,288.695343,97123600,8
2023-03-14,294.309998,297.929993,293.450012,297.369995,295.329498,73602500,9
2023-03-15,294.709991,299.269989,293.23999,298.929993,296.878815,83631500,10
2023-03-16,298,307.179993,297.190002,306.809998,304.704712,98198100,11
2023-03-17,306.720001,309.149994,303.369995,305.359985,303.264648,89923700,12
2023-03-20,304.26001,306.299988,302.01001,305.970001,304.340912,56359500,13
2023-03-21,307.940002,310.799988,306.399994,310.339996,308.687653,49757000,14
2023-03-22,310.269989,315.25,305.950012,306.119995,304.490112,75791900,15
2023-03-23,309.920013,314.149994,307.01001,309.75,308.1008,74576000,16
2023-03-24,309.320007,310.98999,306.950012,310.890015,309.234711,57195200,17
2023-03-27,311.600006,312.700012,307.890015,308.76001,307.116058,50287400,18
2023-03-28,308.170013,308.200012,304.769989,307.119995,305.484772,48585900,19
2023-03-29,310.880005,313.350006,310.049988,312.720001,311.054962,53274300,20
2023-03-30,315.23999,316.320007,312.809998,315.679993,313.999207,58354800,21
2023-03-31,315.910004,321.170013,315.600006,320.929993,319.221252,62138100,22
2023-04-03,318.769989,320.420013,317.420013,320.149994,318.445404,47126800,23
2023-04-04,320.600006,321.630005,317.829987,319.070007,317.371185,45875400,24
2023-04-05,318.100006,319.059998,314.070007,315.920013,314.237946,62795700,25
2023-04-06,314.23999,318.549988,312.820007,318.049988,316.356598,46916500,26
2023-04-10,315.070007,317.920013,313.25,317.869995,316.177551,45134700,27
2023-04-11,317.829987,317.890015,315.309998,315.829987,314.148407,40113600,28
2023-04-12,317.820007,318.420013,312.570007,313.040009,311.373291,62813300,29
2023-04-13,314.829987,319.649994,313.630005,319.170013,317.470642,54613800,30
2023-04-14,317.589996,320.359985,315.609985,318.570007,316.87381,56278300,31
2023-04-17,318.149994,319.200012,316.040009,318.839996,317.142395,43007000,32
2023-04-18,320.98999,321.420013,317.640015,318.859985,317.162262,46746900,33
2023-04-19,316.410004,319.790009,316.279999,318.709991,317.013062,38960100,34
2023-04-20,315.690002,319.269989,314.970001,316.279999,314.596039,62462100,35
2023-04-21,315.910004,317.399994,314.100006,316.609985,314.924225,59002300,36
2023-04-24,316.380005,317.73999,313.73999,315.950012,314.267792,44043100,37
2023-04-25,314.290009,314.970001,309.890015,309.98999,308.339508,57121600,38
2023-04-26,313.440002,314.940002,311.339996,311.869995,310.209503,55400500,39
2023-04-27,315.700012,320.859985,315.049988,320.350006,318.644348,65430400,40
2023-04-28,320.109985,322.649994,318.959991,322.559998,320.84256,59652500,41
2023-05-01,322.089996,323.630005,321.089996,322.190002,320.474548,41013400,42
2023-05-02,322.119995,322.450012,317.609985,319.380005,317.679535,56519400,43
2023-05-03,319.75,322.470001,317.179993,317.290009,315.600677,59882100,44
2023-05-04,317.059998,318.230011,315.119995,316.170013,314.486633,50224500,45
2023-05-05,318.470001,323.76001,316.209991,322.890015,321.170868,51776000,46
2023-05-08,322.420013,324.040009,321.320007,323.690002,321.966583,36465800,47
2023-05-09,322,322.880005,321.320007,321.640015,319.927521,31768800,48
2023-05-10,324.119995,326.01001,321.600006,325.140015,323.408875,60446600,49
2023-05-11,325.700012,326.75,324.119995,326.200012,324.463226,44278500,50
2023-05-12,326.73999,327.170013,322.940002,325.029999,323.299438,48396200,51
2023-05-15,325.51001,327.029999,323.959991,326.790009,325.050049,33375600,52
2023-05-16,326.059998,328.899994,326.019989,327.160004,325.418091,40019200,53
2023-05-17,328.23999,331.709991,327.040009,331.119995,329.356995,47486100,54
2023-05-18,331.519989,337.48999,331.5,337.269989,335.474274,64213500,55
2023-05-19,337.48999,338.209991,335.429993,336.51001,334.718323,61462400,56
2023-05-22,336.25,338.670013,336.23999,337.640015,335.842285,43015900,57
2023-05-23,335.890015,337.059998,333,333.359985,331.585114,48216700,58
2023-05-24,331.369995,332.910004,329.559998,331.649994,329.884155,62891200,59
2023-05-25,339.140015,341.01001,336.670013,339.720001,337.911224,66862800,60
2023-05-26,340.76001,349.25,340.660004,348.399994,346.544983,63007000,61
2023-05-30,352.709991,353.929993,348.529999,349.980011,348.116638,72652200,62
2023-05-31,348.369995,350.600006,346.51001,347.98999,346.137146,65105400,63
2023-06-01,347.730011,353.359985,346.660004,352.01001,350.135773,50488600,64
2023-06-02,353.799988,355.829987,352.01001,354.649994,352.761719,53293500,65
2023-06-05,354.429993,357.5,353.850006,354.899994,353.010406,47266200,66
2023-06-06,354.279999,355.820007,352.929993,354.839996,352.950684,41390400,67
2023-06-07,355.130005,357.119995,348.179993,348.820007,346.962769,69225900,68
2023-06-08,349.119995,353.619995,348.890015,353.149994,351.269714,47153900,69
2023-06-09,354.630005,357.660004,353.029999,354.5,352.612549,53155900,70
2023-06-12,356.190002,360.589996,355.200012,360.48999,358.570648,44606500,71
2023-06-13,363.290009,364.109985,360.029999,363.26001,361.325867,57097800,72
2023-06-14,363.269989,366.190002,360.420013,365.899994,363.951813,69525600,73
2023-06-15,364.609985,371.769989,363.980011,370.26001,368.288635,71138800,74
2023-06-16,372.720001,372.850006,367.480011,367.929993,365.971039,80875900,75
2023-06-20,365.950012,368.320007,363.890015,366.899994,365.447083,49204700,76
2023-06-21,365.73999,366.179993,360.959991,361.899994,360.466919,53378300,77
2023-06-22,360.630005,366.329987,360.220001,366.170013,364.720032,47603000,78
2023-06-23,362.209991,364.880005,360.820007,362.540009,361.10437,48873900,79
2023-06-26,362,364.839996,357.589996,357.679993,356.263611,52685500,80
2023-06-27,359.25,364.570007,358.51001,363.829987,362.389282,49428100,81
2023-06-28,361.980011,366.519989,361.899994,364.540009,363.096466,46498000,82
2023-06-29,364.23999,364.890015,362.140015,363.809998,362.369324,46151000,83
2023-06-30,367.549988,370.48999,367.230011,369.420013,367.957123,58668800,84
2023-07-03,370.070007,370.929993,368.970001,370.290009,368.8237,19432900,85
2023-07-05,368.700012,372.01001,368.660004,370.279999,368.813721,34460900,86
2023-07-06,366.51001,367.910004,364.519989,367.459991,366.004883,49374700,87
2023-07-07,367.230011,370.480011,366.01001,366.23999,364.789734,47083200,88
2023-07-10,365.959991,367.049988,363.410004,366.359985,364.90921,48498800,89
2023-07-11,366.790009,368.630005,364.619995,368.170013,366.712067,38214100,90
2023-07-12,372.339996,374.190002,370.299988,372.820007,371.343658,61975400,91
2023-07-13,376.049988,379.98999,375.459991,379.149994,377.648621,46960000,92
2023-07-14,379.589996,382.859985,378.179993,379.070007,377.568909,55097800,93
2023-07-17,379.799988,383.5,379.309998,382.609985,381.094879,40868900,94
2023-07-18,381.959991,387.130005,380,385.73999,384.212463,55343400,95
2023-07-19,386.820007,387.980011,384.299988,385.649994,384.122864,54093000,96
2023-07-20,382.609985,384.100006,375.720001,376.76001,375.268097,71941700,97
2023-07-21,379.179993,379.920013,375.190002,375.630005,374.142548,60439400,98
2023-07-24,376.619995,377.579987,374.339996,376.230011,374.740204,40380100,99
2023-07-25,376.950012,380.470001,376.929993,378.779999,377.28006,38894400,100
2023-07-26,377.720001,379.23999,375.179993,377.519989,376.025055,47075700,101
2023-07-27,383.070007,384.709991,375.309998,376.619995,375.128601,63940200,102
2023-07-28,380.73999,384.519989,380.220001,383.480011,381.961456,56902900,103
2023-07-31,383.790009,384.880005,382.339996,383.679993,382.160675,44019900,104
2023-08-01,382.309998,383.559998,380.690002,382.790009,381.2742,41060600,105
2023-08-02,379.26001,379.26001,373.130005,374.390015,372.907471,72687100,106
2023-08-03,371.940002,375.950012,371.769989,373.790009,372.309845,47666400,107
2023-08-04,375.75,378.100006,371.529999,372.040009,370.566772,61646200,108
2023-08-07,373.880005,375.290009,371.51001,375.190002,373.704285,37230400,109
2023-08-08,372.640015,372.660004,368.820007,372,370.526917,44726500,110
2023-08-09,372.290009,372.450012,367.140015,367.910004,366.453125,51150900,111
2023-08-10,370.970001,374.359985,367.040009,368.589996,367.130432,72035300,112
2023-08-11,365.98999,368,364.690002,366.23999,364.789734,48683800,113
2023-08-14,365.429993,370.470001,364.700012,370.350006,368.883453,42130800,114
2023-08-15,369.359985,370.170013,365.73999,366.420013,364.968994,45539900,115
2023-08-16,365.869995,367.429993,362.440002,362.540009,361.10437,53190500,116
2023-08-17,363.959991,364.309998,358.160004,358.579987,357.160034,62604300,117
2023-08-18,355.26001,359.410004,354.709991,358.130005,356.711853,61119500,118
2023-08-21,359.619995,364.589996,359.149994,363.899994,362.458984,50696500,119
2023-08-22,366.549988,366.559998,362.679993,363.380005,361.941071,44613500,120
2023-08-23,364.579987,370.220001,364.359985,369.109985,367.648346,51770600,121
2023-08-24,372.640015,372.73999,361.01001,361.220001,359.789612,66842500,122
2023-08-25,362.070007,365.73999,358.579987,364.019989,362.578522,69960500,123
2023-08-28,366.98999,367.709991,364.25,366.76001,365.307678,40910000,124
2023-08-29,366.559998,375.130005,366.230011,374.769989,373.28595,58492400,125
2023-08-30,374.880005,377.450012,373.859985,376.859985,375.367645,41731500,126
2023-08-31,376.940002,379.720001,376.869995,377.98999,376.493195,35730700,127
2023-09-01,380.399994,380.829987,376.079987,377.589996,376.094757,39772400,128
2023-09-05,376.769989,379.309998,375.829987,378.070007,376.572876,32344200,129
2023-09-06,377.279999,377.630005,372.700012,374.73999,373.256042,42998700,130
2023-09-07,370.209991,372.850006,369.149994,372.059998,370.58667,52060700,131
2023-09-08,372.01001,374.850006,371.600006,372.579987,371.104614,35800100,132
2023-09-11,375.660004,377.48999,373.660004,376.970001,375.477234,39936600,133
2023-09-12,375.269989,376.950012,372.5,372.790009,371.313782,41391000,134
2023-09-13,373.029999,375.839996,371.880005,374.209991,372.728119,46300700,135
2023-09-14,375.98999,378.269989,373.890015,377.269989,375.776062,48039400,136
2023-09-15,375.910004,376.320007,369.859985,370.809998,369.341644,69757700,137
2023-09-18,369.320007,371.790009,369.029999,370.660004,369.726654,36903500,138
2023-09-19,369.320007,370.679993,366.799988,369.869995,368.938629,37621700,139
2023-09-20,370.950012,371.309998,364.459991,364.540009,363.62207,45514200,140
2023-09-21,360.799988,361.600006,357.690002,357.859985,356.958862,69584700,141
2023-09-22,359.630005,361.799988,357.589996,357.910004,357.008759,51589700,142
2023-09-25,356.929993,359.700012,355.929993,359.609985,358.704468,39168000,143
2023-09-26,356.98999,357.540009,353.209991,354.209991,353.318054,53657700,144
2023-09-27,355.380005,356.980011,351.359985,355.040009,354.145996,56066000,145
2023-09-28,354.109985,360.170013,353.23999,358.01001,357.108521,56453300,146
2023-09-29,361.540009,362.950012,357.019989,358.269989,357.367859,64754300,147
2023-10-02,358.540009,362.679993,357.920013,361.26001,360.350311,51625100,148
2023-10-03,358.779999,361.01001,353.279999,354.920013,354.026306,60478500,149
2023-10-04,355.769989,360.609985,355.299988,359.75,358.844116,54786700,150
2023-10-05,359.73999,360.149994,355.140015,358.690002,357.786774,45897400,151
2023-10-06,355.649994,365.910004,354.850006,364.700012,363.781677,74959200,152
2023-10-09,362.299988,367.109985,360.779999,366.559998,365.636963,45304800,153
2023-10-10,366.899994,371.279999,366.390015,368.589996,367.661865,46968800,154
2023-10-11,369.940002,371.410004,368.190002,371.220001,370.285248,38215100,155
2023-10-12,371.730011,373.73999,367.5,369.929993,368.998474,49587900,156
2023-10-13,370.570007,371.160004,363.859985,365.279999,364.360199,52469900,157
2023-10-16,366.619995,370.480011,366.470001,369.410004,368.479797,44201100,158
2023-10-17,365.809998,369.920013,363.660004,368.200012,367.272858,50999100,159
2023-10-18,365.670013,367.910004,362.019989,363.369995,362.455017,54280500,160
2023-10-19,364.809998,366.019989,359.160004,359.970001,359.063568,72274200,161
2023-10-20,359.459991,360.040009,354.369995,354.600006,353.707092,72369800,162
2023-10-23,353.26001,359.26001,351.119995,355.670013,354.774414,60665200,163
2023-10-24,357.51001,359.910004,355.790009,359.130005,358.225708,47082100,164
2023-10-25,356.700012,356.880005,349.75,350.339996,349.457825,71190500,165
2023-10-26,349.119995,350.070007,342.350006,343.660004,342.794647,78621400,166
2023-10-27,346.429993,348.839996,344.079987,345.309998,344.44046,63476700,167
